datasize,ml_time,classic_time,ml_compressed_size,classic_compressed_size,ml_compression_ratio,classic_compression_ratio,ml_method,classic_method,ml_score,classic_score,ml_cbor_original_size,ml_cbor_compressed_size,ml_cbor_compressratio,classic_cbor_original_size,classic_cbor_compressed_size,classic_cbor_compressratio,ml_json_original_size,ml_json_compressed_size,ml_json_compressratio,classic_json_original_size,classic_json_compressed_size,classic_json_compressratio
100,1.548828125,88.1591796875,50,50,0.5,0.5,CompressPIP_PD_0.5,CompressPIP_PD_0.5,76.1702,10.968510469698852,2291,1292,0.436054124836316,2291,1292,0.436054124836316,5321,2801,0.47359518887427177,5321,2801,0.47359518887427177
200,2.2587890625,247.81884765625,80,100,0.6,0.5,CompressMinMax_0.4,CompressPIP_PD_0.5,1,10.931853439780474,4291,1891,0.559310184106269,4291,2292,0.4658587741785132,10494,4371,0.5834762721555175,10495,5406,0.4848975702715579
300,3.848876953125,476.447021484375,120,150,0.6,0.5,CompressMinMax_0.4,CompressPIP_PD_0.5,1,10.929924116403607,6292,2691,0.5723140495867769,6292,3292,0.47679593134138587,15581,6380,0.59052692381747,15580,7950,0.48973042362002567
400,5.853759765625,786.871337890625,160,200,0.6,0.5,CompressMinMax_0.4,CompressPIP_PD_0.5,1,10.937796715860246,8292,3491,0.5789917993246503,8292,4292,0.482392667631452,20669,8410,0.5931104552711791,20669,10494,0.49228312932410856
500,7.96923828125,1121.391357421875,200,241,0.6,0.518,CompressMinMax_0.4,CompressPWP_0.5,1,10.891146733485927,10292,4291,0.5830742324135251,10292,5113,0.5032063738826272,25846,10530,0.5925868606360752,25844,12620,0.5116854976009906
600,10.674072265625,1698.36083984375,240,300,0.6,0.5,CompressMinMax_0.4,CompressPIP_PD_0.5,1,10.949891196574269,12292,5092,0.585746827204686,12292,6293,0.4880410022779043,31024,12594,0.5940562145435792,31021,15668,0.4949227942361626
700,13.991943359375,2168.94287109375,280,350,0.6,0.5,CompressMinMax_0.4,CompressPIP_PD_0.5,1,10.951322975084766,14380,5980,0.5841446453407511,14380,7337,0.4897774687065369,36196,14646,0.595369654105426,36196,18255,0.49566250414410434
800,17.679931640625,2701.425048828125,320,400,0.6,0.5,CompressMinMax_0.4,CompressPIP_PD_0.5,1,10.94037653716123,16580,6980,0.5790108564535585,16580,8433,0.4913751507840772,41371,16717,0.5959246815402093,41371,20850,0.496023784776776
900,20.988037109375,3494.88720703125,360,450,0.6,0.5,CompressMinMax_0.4,CompressPIP_PD_0.5,1,10.949811684461189,18780,7852,0.5818956336528222,18780,9533,0.49238551650692225,46533,18765,0.596737798981368,46533,23428,0.49652934476607996
1000,24.98486328125,4208.059326171875,400,500,0.6,0.5,CompressMinMax_0.4,CompressPIP_PD_0.5,1,10.949208588121206,20980,8692,0.5857006673021926,20980,10631,0.4932793136320305,51671,20793,0.5975885893441195,51670,25992,0.49696148635571896